,compound_name,canonical_smiles,BBclass
29,Unknown,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,BBB+
30,Unknown,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,BBB+
31,Unknown,CC(C)(C)NCC(O)COc1ccccc1C#N,BBB+
32,Unknown,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,BBB+
33,Unknown,CCCCOC(=O)c1ccc(N)cc1,BBB+
34,Unknown,Cn1c(=O)c2c(ncn2C)n(C)c1=O,BBB+
35,Unknown,NC(=O)N1c2ccccc2C=Cc2ccccc21,BBB+
36,Unknown,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,BBB+
37,Unknown,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,BBB+
38,Unknown,Clc1cccc(Cl)c1N=C1NCCN1,BBB+
39,Unknown,CNCCCN1c2ccccc2CCc2ccccc21,BBB+
40,Unknown,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,BBB+
41,Unknown,CC(N)Cc1ccccc1,BBB+
42,Unknown,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,BBB+
43,Unknown,CN(C)CCOC(c1ccccc1)c1ccccc1,BBB+
44,Unknown,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,BBB+
45,Unknown,FC(F)OC(F)(F)C(F)Cl,BBB+
46,Unknown,CCOc1ccccc1C(N)=O,BBB+
47,Unknown,CCOCC,BBB+
48,Unknown,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,BBB+
49,Unknown,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,BBB+
50,Unknown,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,BBB+
51,Unknown,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,BBB+
52,Unknown,O=C(O)c1cc(O)ccc1O,BBB+
53,Unknown,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,BBB+
54,Unknown,FC(F)(F)C(Cl)Br,BBB+
55,Unknown,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,BBB+
56,Unknown,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,BBB+
57,Unknown,CC(C)Cc1ccc(C(C)C(=O)O)cc1,BBB+
58,Unknown,CCN(CC)CC(=O)Nc1c(C)cccc1C,BBB+
59,Unknown,CN(C)CCCN1c2ccccc2CCc2ccccc21,BBB+
60,Unknown,FC(F)OC(Cl)C(F)(F)F,BBB+
61,Unknown,CC(C)O,BBB+
62,Unknown,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,BBB+
63,Unknown,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,BBB+
64,Unknown,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,BBB+
65,Unknown,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,BBB+
66,Unknown,COC(F)(F)C(Cl)Cl,BBB+
67,Unknown,COC(=O)C(c1ccccc1)C1CCCCN1,BBB+
68,Unknown,COCCc1ccc(OCC(O)CNC(C)C)cc1,BBB+
69,Unknown,CN1CCN2c3ccccc3Cc3ccccc3C2C1,BBB+
70,Unknown,CN1CCN2c3ncccc3Cc3ccccc3C2C1,BBB+
71,Unknown,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,BBB+
72,Unknown,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,BBB+
73,Unknown,Cn1c(=O)[nH]c2ncn(C)c2c1=O,BBB+
74,Unknown,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,BBB+
75,Unknown,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,BBB+
76,Unknown,CC(C)NCC(O)COc1cccc2[nH]ccc12,BBB+
77,Unknown,CCC1(c2ccccc2)C(=O)NCNC1=O,BBB+
78,Unknown,CCN(CC)CCOC(=O)c1ccc(N)cc1,BBB+
79,Unknown,CN(C)CCCN1c2ccccc2Sc2ccccc21,BBB+
80,Unknown,CC(C)c1cccc(C(C)C)c1O,BBB+
81,Unknown,CC(C)NCC(O)COc1cccc2ccccc12,BBB+
82,Unknown,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,BBB+
83,Unknown,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,BBB+
84,Unknown,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,BBB+
85,Unknown,CCCN(CCC)CCc1cccc2c1CC(=O)N2,BBB+
86,Unknown,FCOC(C(F)(F)F)C(F)(F)F,BBB+
87,Unknown,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,BBB+
88,Unknown,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,BBB+
89,Unknown,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,BBB+
90,Unknown,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,BBB+
91,Unknown,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,BBB+
92,Unknown,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,BBB+
93,Unknown,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,BBB+
94,Unknown,C1CCc2nnnn2CC1,BBB+
95,Unknown,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,BBB+
96,Unknown,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,BBB+
97,Unknown,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,BBB+
98,Unknown,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,BBB+
99,Unknown,ClC(Cl)Cl,BBB+
100,Unknown,CCCCCO,BBB+
101,Unknown,CC(Cl)(Cl)Cl,BBB+
102,Unknown,C=C,BBB+
103,Unknown,C1CC1,BBB+
104,Unknown,C1CO1,BBB+
105,Unknown,CC(C)Br,BBB+
106,Unknown,CC(C)(C)O,BBB+
107,Unknown,CCC(C)(C)C,BBB+
108,Unknown,CCC(C)(C)O,BBB+
109,Unknown,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,BBB+
110,Unknown,CCCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
111,Unknown,CC(C)CO,BBB+
112,Unknown,CCC(C)=O,BBB+
113,Unknown,ClCC(Cl)Cl,BBB+
114,Unknown,ClC=C(Cl)Cl,BBB+
115,Unknown,COC(C)=O,BBB+
116,Unknown,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,BBB+
117,Unknown,CCCOC(=O)c1ccc(N)cc1,BBB+
118,Unknown,Cc1ccccc1C,BBB+
119,Unknown,Cc1ccc(C)c(C)c1,BBB+
120,Unknown,CCC(C)CC,BBB+
121,Unknown,CC1CCCC1,BBB+
122,Unknown,CC(C)(C)c1ccccc1,BBB+
123,Unknown,FC(F)(F)c1ccc(Cl)cc1,BBB+
124,Unknown,CCc1ccccc1,BBB+
125,Unknown,C=Cc1ccccc1,BBB+
126,Unknown,Cc1ccc(C)cc1,BBB+
127,Unknown,CCCBr,BBB+
128,Unknown,C=CC=C,BBB+
129,Unknown,CCCC(C)C,BBB+
130,Unknown,CCCC(C)=O,BBB+
131,Unknown,CC(=O)OC(C)C,BBB+
132,Unknown,Cc1cccc(C)c1,BBB+
133,Unknown,CC1CCCCC1,BBB+
134,Unknown,CCCOC(C)=O,BBB+
135,Unknown,CCCCC,BBB+
136,Unknown,C=COC=C,BBB+
137,Unknown,CC(=O)OCC(C)C,BBB+
138,Unknown,CCCCCC,BBB+
139,Unknown,C1CCCCC1,BBB+
140,Unknown,C=CCCCCCC,BBB+
141,Unknown,CCCCCCCCC,BBB+
142,Unknown,C=CC,BBB+
143,Unknown,Cc1c(I)c(=O)n(-c2ccccc2)n1C,BBB+
144,Unknown,CCC(C)CO,BBB+
145,Unknown,CCOC(C)=O,BBB+
146,Unknown,CCCCCCC,BBB+
147,Unknown,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
148,Unknown,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,BBB+
149,Unknown,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,BBB+
150,Unknown,FC(F)=CCl,BBB+
151,Unknown,C=COCC(F)(F)F,BBB+
152,Unknown,CC1CCCCC1C,BBB+
153,Unknown,CCCCC(C)C,BBB+
154,Unknown,CCCCCC(C)C,BBB+
155,Unknown,CCCCCOC(C)=O,BBB+
156,Unknown,ClCC(Cl)(Cl)Cl,BBB+
157,Unknown,CCOC(C)(C)C,BBB+
158,Unknown,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,BBB+
159,Unknown,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,BBB+
160,Unknown,CCCCCCCC(C)C,BBB+
161,Unknown,C=CCCCCCCCC,BBB+
162,Unknown,COC(C)(C)C,BBB+
163,Unknown,CCCCCCCCCC,BBB+
164,Unknown,FS(F)(F)(F)(F)F,BBB+
165,Unknown,Cc1cccc(OCC(O)CNC(C)C)c1,BBB+
166,Unknown,CC(C)(C)C1CCCCC1,BBB+
167,Unknown,CCCCCCC(C)C,BBB+
168,Unknown,NC(=O)C1c2ccccc2C=Cc2ccccc21,BBB+
169,Unknown,CNCCCN1c2ccccc2Sc2ccccc21,BBB+
170,Unknown,CCCCOC(C)=O,BBB+
171,Unknown,CC(=O)OCCC(C)C,BBB+
172,Unknown,C=CCCCCCCC,BBB+
173,Unknown,FC(Br)C(F)(F)F,BBB+
174,Unknown,ClC(Cl)=C(Cl)Cl,BBB+
175,Unknown,c1cc2ccc3cccc4ccc(c1)c2c34,BBB+
176,Unknown,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,BBB+
177,Unknown,FC(F)OC(F)C(F)(F)F,BBB+
178,Unknown,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,BBB+
179,Unknown,CCC(C)(C)OC,BBB+
180,Unknown,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,BBB+
181,Unknown,CCC(O)(CC(N)=O)c1ccccc1,BBB+
182,Unknown,CCc1ccc(C(=O)C(C)CN2CCCC2)cc1,BBB+
183,Unknown,CCCCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
184,Unknown,c1ccc2c(c1)CCCN2,BBB+
185,Unknown,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,BBB+
186,Unknown,C=COCCCCOC=C,BBB+
187,Unknown,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,BBB+
188,Unknown,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,BBB+
189,Unknown,Clc1ccc(N=C2NCCN2)c(Cl)c1,BBB+
190,Unknown,CC1CCC(C)C(C)C1,BBB+
191,Unknown,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,BBB+
192,Unknown,O=[N+]([O-])c1nccn1CC(O)CF,BBB+
193,Unknown,Cc1cc(=O)n(-c2ccc(F)cc2)n1C,BBB+
194,Unknown,CCC1(C)C(=O)NC(=O)NC1=O,BBB+
195,Unknown,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,BBB+
196,Unknown,CSc1ccc2c(c1)N(CCC1CCCNC1)c1ccccc1S2,BBB+
197,Unknown,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,BBB+
198,Unknown,CNCCCN1c2ccccc2CCc2cc(O)ccc21,BBB+
199,Unknown,CCOC(=O)c1ncn2c1CN(CCF)C(=O)c1cc(F)ccc1-2,BBB+
200,Unknown,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1,BBB+
201,Unknown,NCCCN1c2ccccc2CCc2ccccc21,BBB+
202,Unknown,Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21,BBB+
203,Unknown,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,BBB+
204,Unknown,CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,BBB+
205,Unknown,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,BBB+
206,Unknown,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
207,Unknown,CCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
208,Unknown,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,BBB+
209,Unknown,Cc1c(F)c(=O)n(-c2ccccc2)n1C,BBB+
210,Unknown,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,BBB+
211,Unknown,Cc1csc(NC(=N)N)n1,BBB+
212,Unknown,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,BBB+
213,Unknown,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,BBB+
214,Unknown,N=C(N)Nc1nc(-c2ccccc2)cs1,BBB+
215,Unknown,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,BBB+
216,Unknown,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,BBB+
217,Unknown,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,BBB+
218,Unknown,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,BBB+
219,Unknown,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,BBB+
220,Unknown,COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,BBB+
221,Unknown,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,BBB+
222,Unknown,O=c1c(Br)ccc2n1CC1CNCC2C1,BBB+
223,Unknown,CN1CCC(n2nc(-c3c(-c4ccccc4)nn4ccccc34)ccc2=O)CC1,BBB+
224,Unknown,C=CCC(N)c1ccccc1-c1noc2ccccc12,BBB+
225,Unknown,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,BBB+
226,Unknown,CC(C)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,BBB+
227,Unknown,COc1ccc(C(C)C)cc1CNC1CCCNC1c1ccccc1,BBB+
228,Unknown,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,BBB+
229,Unknown,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,BBB+
230,Unknown,COc1ccc(-c2nccs2)cc1CNC1CCCNC1c1ccccc1,BBB+
231,Unknown,CC(C)(C)c1ccc(OC(F)(F)F)c(CNC2CCCNC2c2ccccc2)c1,BBB+
232,Unknown,CC(C)(C)c1nc(N2CCN(CCCSc3nccc(=O)[nH]3)CC2)cc(C(F)(F)F)n1,BBB+
233,Unknown,COc1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,BBB+
234,Unknown,c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1,BBB+
235,Unknown,COC(=O)C1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)CC1C,BBB+
236,Unknown,FC(F)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,BBB+
237,Unknown,Brc1cccc(Br)c1N=C1NCCN1,BBB+
238,Unknown,O=[N+]([O-])c1nccn1CCCCCCCCF,BBB+
239,Unknown,COc1cccc(CC2CCN(C3CCC(OC)(c4ccc5c(c4)OCO5)CC3)CC2)c1,BBB+
240,Unknown,OCCCOc1cccc(CN2CCCCC2)c1,BBB+
241,Unknown,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,BBB+
242,Unknown,Clc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,BBB+
243,Unknown,O=c1ccc(-c2c(-c3ccccc3)nn3ccccc23)nn1CCN1CCCCC1,BBB+
244,Unknown,CCCC(C)CC,BBB+
245,Unknown,Clc1ccc(Cl)c(N=C2NCCN2)c1,BBB+
246,Unknown,Fc1cccc(F)c1N=C1NCCN1,BBB+
247,Unknown,Clc1cc(Br)cc(Cl)c1N=C1NCCN1,BBB+
248,Unknown,Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,BBB+
249,Unknown,Ic1ccc(CN2CCCCC2)cc1CN1CCCCC1,BBB+
250,Unknown,Clc1cccc(Cl)c1NC1N=CCN1,BBB+
251,Unknown,CCCN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,BBB+
252,Unknown,CCCCCCN1CCN(c2ccc(I)cc2)CC1,BBB+
253,Unknown,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,BBB+
254,Unknown,O=[N+]([O-])c1c(Cc2ccccc2)c[nH]c1NCCSCc1ccccn1,BBB+
255,Unknown,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,BBB+
256,Unknown,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,BBB+
257,Unknown,O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1,BBB+
258,Unknown,COc1ccc(C(C)(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,BBB+
259,Unknown,FC(F)(F)CC(Cl)Br,BBB+
260,Unknown,COc1ccccc1CNC1CCCNC1c1ccccc1,BBB+
261,Unknown,CCc1cccc(N=C(C)Nc2cccc(CC)c2)c1,BBB+
262,Unknown,COc1ccc(S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,BBB+
263,Unknown,CC1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,BBB+
264,Unknown,Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21,BBB+
265,Unknown,COc1cc2sc(C)nc2cc1CNC1CCCNC1c1ccccc1,BBB+
266,Unknown,COc1ccc(N2CCCC2=O)cc1CNC1CCCNC1c1ccccc1,BBB+
267,Unknown,COc1cc2sc(-c3ccccc3)nc2cc1CNC1CCCNC1c1ccccc1,BBB+
268,Unknown,COc1ccc(-n2nc(C)cc2C)cc1CNC1CCCNC1c1ccccc1,BBB+
269,Unknown,COc1cc2oc(C)nc2cc1CNC1CCCNC1c1ccccc1,BBB+
270,Unknown,COc1cc2sc(C3CC3)nc2cc1CNC1CCCNC1c1ccccc1,BBB+
271,Unknown,COc1cc2sc(C(C)(C)C)nc2cc1CNC1CCCNC1c1ccccc1,BBB+
272,Unknown,FC(Br)CC(F)(F)F,BBB+
273,Unknown,O=[N+]([O-])c1nccn1CC(O)COCF,BBB+
274,Unknown,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,BBB+
275,Unknown,COc1cc2c(c(CNC3CCCNC3c3ccccc3)c1)OCC2,BBB+
276,Unknown,NCCn1ncc2cc(Cl)c(Cl)cc21,BBB+
277,Unknown,CCCN(CCC)CCc1ccc2c(c1)CC(=O)N2,BBB+
278,Unknown,COc1ccc(C(C)(C)C)cc1CNC1CCCNC1c1ccccc1,BBB+
279,Unknown,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2,BBB+
280,Unknown,O=c1cccc2n1CC1CNC(Br)C2C1,BBB+
281,Unknown,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,BBB+
282,Unknown,F/C=C/O/C=C/F,BBB+
283,Unknown,CCC(C)N1CCN(c2ccc(I)cc2)CC1,BBB+
284,Unknown,CN1CCN(CCCN2c3ccccc3Sc3cccc(C(F)(F)F)c32)CC1,BBB+
285,Unknown,CCC(C)Nc1ccc(I)c(NC(C)CC)c1,BBB+
286,Unknown,Cc1nc2cc(CNC3CCCNC3c3ccccc3)c(OC(C)C)cc2s1,BBB+
287,Unknown,CN(C)c1ccccc1Sc1ccc(CCF)cc1N,BBB+
288,Unknown,CC(F)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,BBB+
289,Unknown,N[C@H]1C[C@@H]1c1ccc(F)cc1,BBB+
290,Unknown,CCCN1CCOC2c3cc(O)ccc3CCC21,BBB+
291,Unknown,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,BBB+
292,Unknown,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,BBB+
293,Unknown,Fc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1,BBB+
294,Unknown,CCCCNC(=S)Nc1ccccc1,BBB+
295,Unknown,CC1(O)NC=C2CN=C(c3ccccc3F)c3cc(Cl)ccc3N21,BBB+
296,Unknown,CC(C)CN1CCN(c2ccc(I)cc2)CC1,BBB+
297,Unknown,CN(C)Cc1ccccc1Sc1ccc(F)cc1N,BBB+
298,Unknown,Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,BBB+
299,Unknown,CC(C)CCO,BBB+
300,Unknown,FC(F)(F)CCC(Cl)Br,BBB+
301,Unknown,Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1,BBB+
302,Unknown,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=N[C@@H]2O,BBB+
303,Unknown,CC1NC(NCC(F)F)=Nc2cccc(Cl)c21,BBB+
304,Unknown,Cc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,BBB+
305,Unknown,Fc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,BBB+
306,Unknown,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@H](CO)C3)c2n1,BBB+
307,Unknown,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,BBB+
308,Unknown,c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2,BBB+
309,Unknown,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,BBB+
310,Unknown,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,BBB+
311,Unknown,NC(N)=Nc1nc(-c2ccccc2)cs1,BBB+
312,Unknown,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,BBB+
313,Unknown,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,BBB+
314,Unknown,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,BBB+
315,Unknown,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,BBB+
316,Unknown,S=C=S,BBB+
317,Unknown,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,BBB+
318,Unknown,Clc1cccc(Cl)c1NC1=NCCN1,BBB+
319,Unknown,CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,BBB+
320,Unknown,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,BBB+
321,Unknown,C[n+]1c2n(c(=O)c3ccccc31)CCC1c3ccccc3NC21,BBB+
322,Unknown,COc1ccc2c(c1)[C@@]13CCCC[C@@H]1[C@@H](C2)N(C)CC3,BBB+
323,Unknown,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,BBB+
324,Unknown,COC(=O)[C@@H]1C(=O)C=C(Nc2ccc(Cl)cc2)C[C@@H]1C,BBB+
325,Unknown,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,BBB+
326,Unknown,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,BBB+
327,Unknown,NC1=NCC2c3ccccc3Cc3ccccc3N12,BBB+
328,Unknown,CCNC(=O)C(C(N)=O)c1ccccc1,BBB+
329,Unknown,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,BBB+
330,Unknown,NCC1(CC(=O)O)CCCCC1,BBB+
331,Unknown,COc1ccc2c3c1OC1CC(O)C=C(CN(C)C2)C31,BBB+
332,Unknown,N#Cc1ccc(OCC2CCN(C/C=C/I)CC2)cc1,BBB+
333,Unknown,Cc1cnc(N=C(N)N)s1,BBB+
334,Unknown,O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1,BBB+
335,Unknown,CN(C)Cc1ccc(-c2c[nH]c(=O)c3cccc(O)c23)cc1,BBB+
336,Unknown,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BBB+
337,Unknown,CC[C@@H](C(N)=O)N1CCCC1=O,BBB+
338,Unknown,Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,BBB+
339,Unknown,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,BBB+
340,Unknown,CNCCCC12CCC(c3ccccc31)c1ccccc12,BBB+
341,Unknown,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(F)cc3)CC1=O)C2,BBB+
342,Unknown,Clc1ccc2[nH]nc(NC3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,BBB+
343,Unknown,O=c1cc(NC2CCN(C/C=C/c3ccccc3)CC2)c2cc(Cl)ccc2o1,BBB+
